,lower_bin_thresh,upper_bin_thresh,bin_prefix,bbox_AP,bbox_AP50,bbox_AP75,bbox_APs,bbox_APm,bbox_APl,bbox_AR@1,bbox_AR@10,bbox_AR,bbox_ARs,bbox_ARm,bbox_ARl,segm_AP,segm_AP50,segm_AP75,segm_APs,segm_APm,segm_APl,segm_AR@1,segm_AR@10,segm_AR,segm_ARs,segm_ARm,segm_ARl,total_obj,small_obj,med_obj,large_obj
0,0.0000,0.1000,0.0000-0.1000,0.0076092456536286796,0.0122026270935178,0.007715466560847558,0.0030585281288713997,0.01604751402689984,0.017279045871646977,0.1501793956549894,0.2675763764542124,0.28484446238073746,0.053830969775252854,0.27187158341376677,0.48625798718222957,0.006568371384866699,0.01037545283760562,0.0070269157955768395,0.0008174837062715334,0.00999170379612438,0.01922179779668296,0.1253931400183032,0.224831754693032,0.2381363960340594,0.031235857234530817,0.21601635873275815,0.4236362034089307,23040.0,10918.0,8422.0,3700.0
1,0.1000,0.2000,0.1000-0.2000,0.01638826044397072,0.02630650798604716,0.017607997968208076,0.028007674353093558,0.05923907338944996,0.03311388558355206,0.24441398404147546,0.34880184338271103,0.3622243651770281,0.13250155019356222,0.37875155667504196,0.5921559189513561,0.01492155559876918,0.02410489003860712,0.01536840625394784,0.01033539704585186,0.03411687257830734,0.03864033382214328,0.22556662611738237,0.3093541815612083,0.31682933209039466,0.11684312098034662,0.3091869977746364,0.541805975664592,1849.0,167.0,436.0,1246.0
2,0.2000,0.3000,0.2000-0.3000,0.01928101302990768,0.02814322303471888,0.02249647921534766,0.015454759322867242,0.06145598497309314,0.04349136202910874,0.269478065341317,0.36171231529585507,0.3728631265679378,0.13815525438763135,0.3674259739180957,0.598667288839159,0.01862071814622698,0.027377330306918718,0.02049621049511032,0.0020214257205207397,0.03808754191088084,0.04946128810925546,0.24692987342263675,0.3207586272876078,0.328451602605875,0.07759766474182786,0.31101218786313317,0.5553613566948667,1543.0,153.0,376.0,1014.0
3,0.3000,0.4000,0.3000-0.4000,0.02464331614087458,0.03444837492468244,0.028456012202874505,0.04171735846688742,0.060972795129793686,0.0462173293246885,0.2820707976749701,0.3885568282224341,0.3937297404605483,0.15520852692586434,0.3941641457070865,0.5744799821664696,0.0234264687425936,0.03320765918900108,0.025371856817833483,0.0106450065821262,0.035709554454281506,0.04932193697785644,0.2626568249741537,0.3514963983942097,0.35776911343726947,0.12338269986778753,0.33847561732957543,0.5567433306414231,1331.0,132.0,322.0,877.0
4,0.4000,0.5000,0.4000-0.5000,0.031295611086285,0.04786296792712623,0.0346167622111509,0.013202814452848599,0.06400152893258114,0.06924509048305236,0.2874149458316916,0.384388979269877,0.4006155563027285,0.15809459686004307,0.4053875356167883,0.5989257900099305,0.030957620921944724,0.04616384757136262,0.032907798219123804,0.00439093046851876,0.029518500875561682,0.07626306696460929,0.2745970559828302,0.35105541738203583,0.360869378179488,0.10345272566868671,0.354653405890179,0.5898443127554283,1081.0,138.0,282.0,661.0
5,0.5000,0.6000,0.5000-0.6000,0.020628363994648097,0.03156628070128848,0.0219783642255794,0.04960906814628408,0.05052463814237672,0.044422700789630676,0.28336622580828524,0.39488922720393715,0.4040700963736995,0.2119216761295708,0.39879064492691885,0.5793590188767667,0.018898286864813218,0.03016924869435732,0.0195181973443483,0.030016791768921542,0.02659373470676276,0.05476475835648922,0.26383300487898265,0.3486602423591142,0.35637557809924014,0.16780534496323968,0.32817597763431944,0.5512473926182617,913.0,130.0,302.0,481.0
6,0.6000,0.7000,0.6000-0.7000,0.028992691239044,0.041035734598615696,0.03448749043979014,0.03532739678578862,0.07845404447758045,0.048646923617481616,0.2836753553673502,0.38555685019890573,0.40307499724822965,0.18316645063867282,0.4429702668770471,0.6004095501304016,0.02440116332635976,0.03876769818955886,0.02690706131510544,0.00633794700909146,0.041744612281848927,0.05705909293566772,0.26008977835883884,0.3463330862438399,0.3600026994511395,0.12905111307889083,0.35638411627825634,0.5985502528918544,777.0,109.0,323.0,345.0
7,0.7000,0.8000,0.7000-0.8000,0.01959938471414426,0.03019140638054248,0.02177139434843902,0.01798063509568272,0.0586408416046432,0.04523523825842522,0.2603972309341523,0.3712426478371626,0.38131588778290676,0.16498132636910465,0.39947729916489183,0.6167548303439145,0.0187545658879636,0.028192129772234658,0.020041420174113738,0.0037338783921601,0.03203071356992215,0.059988700821428265,0.24357304085976658,0.33285711253424416,0.34313163894993554,0.1091172609821867,0.3627752741036618,0.5942888100268007,711.0,147.0,304.0,260.0
8,0.8000,0.9000,0.8000-0.9000,0.02723514926910022,0.039840517992926,0.03362523514993338,0.05015338685851169,0.05621311987429696,0.05451149046329978,0.26736134694774105,0.3832840614740737,0.40107959704789514,0.14398703657591122,0.4461493009390011,0.5975083815958816,0.02457871743165364,0.03710067198592852,0.028190214200195202,0.00692330650068986,0.03534777414876332,0.0656493795644819,0.24981809896859364,0.3493008849854143,0.3614305903416382,0.07569749302357992,0.4045244798376547,0.6026670152295153,662.0,145.0,341.0,176.0
9,0.9000,1.0000,0.9000-1.0000,0.027635849023140265,0.0380243251887382,0.03165456684846892,0.0388390815916577,0.07002562967691103,0.05433669305591996,0.25170909124811014,0.3916960743416891,0.4015167174235318,0.16493049965577802,0.46125940445308516,0.5684289094305089,0.024260677117165282,0.03426275405256586,0.025016704501430044,0.021601062233766424,0.0431069437871936,0.06997343627483948,0.2564259445085,0.38090448739161376,0.3894345585077598,0.13989911267201824,0.4290107600504857,0.5991259154799963,4886.0,3294.0,1459.0,133.0
