	lower_bin_thresh	upper_bin_thresh	bin_prefix	bbox_AP	bbox_AP50	bbox_AP75	bbox_APs	bbox_APm	bbox_APl	bbox_AR@1	bbox_AR@10	bbox_AR	bbox_ARs	bbox_ARm	bbox_ARl	segm_AP	segm_AP50	segm_AP75	segm_APs	segm_APm	segm_APl	segm_AR@1	segm_AR@10	segm_AR	segm_ARs	segm_ARm	segm_ARl	total_obj	small_obj	med_obj	large_obj
0	0.0000	0.1000	0.0000-0.1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16706.0	8373.0	6235.0	2098.0
1	0.1000	0.2000	0.1000-0.2000	-0.0011630064068357433	-0.0004915106446677416	-0.0007264446400153573	-0.04495916638772351	0.011671288091593526	0.0023966735418567454	-0.0010474088950201965	0.030474663451660083	0.04137232881821812	-0.013418409654391464	0.06823682788650787	0.062163385818897854	-0.0024164392409764587	-0.0008642997714094387	-0.003712108946545961	-0.016029551065942848	0.0016897593203764605	0.004494530591963038	0.009372031518525836	0.034659856489135776	0.04100391647991081	0.010434595787113636	0.033623741677936664	0.05997528268221353	1324.0	192.0	416.0	716.0
2	0.2000	0.3000	0.2000-0.3000	0.0026081408536232625	0.003565135439259022	0.0044253169523522425	0.027841487369181815	0.0069554538570799004	-0.0010006744569173998	0.042856355409608304	0.0680508008619865	0.06593542593022456	0.07007094621764313	0.04685535746531544	0.053146235312219514	0.003086214892026099	0.0037885028837457337	0.003630913678704861	0.01669376543396745	0.006947980310756999	-0.0013607399024218036	0.028773027343881874	0.04329242598450028	0.04521264549409215	0.010089689141079994	0.07720371494726846	0.046157252243771096	1306.0	115.0	386.0	805.0
3	0.3000	0.4000	0.3000-0.4000	-0.003217906569213138	-0.003404471201621243	-0.006107970587999988	0.013056433442588708	-0.0021182982504504982	-0.009196485917230747	0.019494897037189263	-0.04986605982370007	-0.05266741499419242	-0.04857676588625773	-0.050539582107163694	-0.050915788458080424	-0.0026485389237578816	-0.0021571352482106128	-0.0045861196995293785	-0.0007614109036961862	0.0035930481265505666	-0.009421556877221328	0.01448561267516138	-0.037646708368813064	-0.04283175906068548	-0.02008418736180323	-0.059128211003260045	-0.035626980100396555	1423.0	128.0	365.0	930.0
4	0.4000	0.5000	0.4000-0.5000	0.0029081698210524955	0.004413962788336324	0.0042137297109518575	-7.40762197090801e-05	-0.016996143636629706	0.0060370168230444235	-0.03488602753557729	0.0374455693916782	0.029171759846270406	0.028045456765365795	0.015516698086632974	0.019965055900140527	0.003565889319457498	0.0038380961056267635	0.0056690705259489355	-0.011944401693730516	-0.01859220523143672	0.010330661435137528	-0.01765838124167443	0.03743187366601308	0.02796013569912481	0.027006084160902707	0.006008807773249469	0.033667081751097894	1367.0	127.0	373.0	867.0
5	0.5000	0.6000	0.5000-0.6000	-0.0004263478207467142	-0.0001687166361434636	-0.0010463856010082331	-0.0013162682650284425	0.025997561161984782	-0.005061667275908115	0.027248537907924752	-0.0179035182452712	-0.014606895794716857	-0.060205521408033896	0.011422215603389352	0.019059601614501598	-0.0009192808105895761	-0.00028051774381067027	-0.0010333799005316537	0.0023458597707414963	0.026746876272367416	-0.008612863124087038	0.018408622511161404	-0.023588621025406098	-0.017807971404724343	-0.05912664124730903	-0.01572291674544901	0.015269223162347356	1294.0	161.0	329.0	804.0
6	0.6000	0.7000	0.6000-0.7000	-0.003966307281972777	-0.004209788618074743	-0.002248467649915601	-0.018194234077089737	0.02352212132771033	-0.010156251964218557	-0.01802363205605151	0.02631051595464956	0.013803663742969652	0.06428766877611936	0.009475669495736139	0.01749019687989828	-0.0020185555649823578	-0.004741541843819003	0.0013062170182286947	-0.003389584740779419	0.01974321639111136	-0.009493423168135652	0.0012557855616238678	0.0502091099351486	0.03800082515289538	0.06491427497002775	0.06057676681610463	0.03191732247599799	1213.0	144.0	350.0	719.0
7	0.7000	0.8000	0.7000-0.8000	0.01622073088031573	0.017622692421906845	0.016416067187136566	0.029326305435291303	-0.028954329489728384	0.03515618095886703	0.014786558071986644	0.005505189190660731	0.023096316277424866	0.026929307981560208	0.014085044856383677	-0.013629548263878855	0.01342343558404074	0.01736040352386964	0.011788771022256062	0.013937395554839334	-0.03341438554725837	0.033471516127986226	-0.003379615156731408	-0.013476462850803339	-0.0016540129676677617	-0.0025042663196402637	-0.0011015226037015546	-0.03229290118806205	1135.0	165.0	350.0	620.0
8	0.8000	0.9000	0.8000-0.9000	-0.009836207925018551	-0.01110754134272638	-0.010022213543713368	-0.00592669166553975	0.014293698361000216	-0.027168058634862678	-0.004251902715710104	0.00845889483640705	-0.008171824216715362	0.012969413878979041	-0.007076957227538427	-0.013778234794605382	-0.008138477308568488	-0.010267725937155733	-0.009065042446708391	-0.003928609953156035	0.00485093617765079	-0.022823445575036343	0.0036090777649714356	0.01187780047942022	0.0010608755087408994	-0.0226992333439104	0.009284800973055174	0.0023158919064077965	1192.0	168.0	458.0	566.0
9	0.9000	1.0000	0.9000-1.0000	0.006112556562588897	0.008207934609120018	0.0055022226793348256	0.007210045982257576	-0.005749098213005149	0.013230304348626834	0.03806100862101516	0.032144400683043084	0.03774935865802603	0.011517749951203082	0.06063597544188626	0.0528284567815801	0.003617022071154063	0.006199275840011946	0.00426072306782789	0.01260989623787472	0.006127305833646894	0.014270896893546846	0.037773766465364345	0.03459265687797375	0.040511036929253674	0.06912372323872862	0.03117063961736477	0.03732469503831459	9837.0	5762.0	3307.0	768.0
